11078831	Head_Neck cancer	Streptococcus anginosus	increase	Oropharynx
26261163	Ulcerative colitis	Escherichia coli	increase	Colonic tissue
26261163	Ulcerative colitis	Lactobacillus	increase	Colonic tissue
26267872	Cervicitis	Lactobacillus jensenii	decrease	Vagina
26267872	Cervicitis	Mageeibacillus indolicus	increase	Vagina
26269625	Obesity	Lactobacillus crispatus	decrease	Cervix
26269625	Obesity	Lactobacillus iners	increase	Cervix
26272413	Chronic rhinosinusitis	Bacteroides	decrease	Nasal cavity
26272413	Chronic rhinosinusitis	Campylobacter	increase	Nasal cavity
26272413	Chronic rhinosinusitis	Clostridiales	decrease	Nasal cavity
26272413	Chronic rhinosinusitis	Fusobacterium	increase	Nasal cavity
26272413	Chronic rhinosinusitis	Lachnospiraceae	decrease	Nasal cavity
26272413	Chronic rhinosinusitis	Oxalobacteraceae	decrease	Nasal cavity
26272413	Chronic rhinosinusitis	Parabacteroides	decrease	Nasal cavity
26272413	Chronic rhinosinusitis	Ruminococcaceae	decrease	Nasal cavity
26288001	Crohns disease	Capnocytophaga	increase	Tooth
26288001	Crohns disease	Rothia	increase	Tooth
26288001	Crohns disease	TM7	increase	Tooth
26313691	Crohns disease	Actinomyces	increase	Gastrointestinal tract
26313691	Crohns disease	Alistipes indistinctus	decrease	Gastrointestinal tract
26313691	Crohns disease	Anaerofustis	decrease	Gastrointestinal tract
26313691	Crohns disease	Anaerostipes	increase	Gastrointestinal tract
26313691	Crohns disease	Anaerotruncus	decrease	Gastrointestinal tract
26313691	Crohns disease	Bacteroides caccae	increase	Gastrointestinal tract
26313691	Crohns disease	Bacteroides eggerthii	decrease	Gastrointestinal tract
26313691	Crohns disease	Barnesiellaceae	increase	Gastrointestinal tract
26313691	Crohns disease	Butyricimonas	decrease	Gastrointestinal tract
26313691	Crohns disease	Christensenellaceae	decrease	Gastrointestinal tract
26313691	Crohns disease	Christensenella	decrease	Gastrointestinal tract
26313691	Crohns disease	Clostridioides difficile	increase	Gastrointestinal tract
26313691	Crohns disease	Clostridium	decrease	Gastrointestinal tract
26313691	Crohns disease	Coprococcus eutactus	decrease	Gastrointestinal tract
26313691	Crohns disease	Coprococcus	increase	Gastrointestinal tract
26313691	Crohns disease	Faecalibacterium	decrease	Gastrointestinal tract
26313691	Crohns disease	Faecalibacterium prausnitzii	decrease	Gastrointestinal tract
26313691	Crohns disease	Fusobacteria	increase	Gastrointestinal tract
26313691	Crohns disease	Lachnobacterium	increase	Gastrointestinal tract
26313691	Crohns disease	Lachnospira	decrease	Gastrointestinal tract
26313691	Crohns disease	Odoribacteraceae	increase	Gastrointestinal tract
26313691	Crohns disease	Odoribacter	increase	Gastrointestinal tract
26313691	Crohns disease	Propionibacterium acnes	increase	Gastrointestinal tract
26313691	Crohns disease	Proteus	increase	Gastrointestinal tract
26313691	Crohns disease	Roseburia	decrease	Gastrointestinal tract
26313691	Crohns disease	Ruminococcus bromii	decrease	Gastrointestinal tract
26313691	Crohns disease	Ruminococcus	decrease	Gastrointestinal tract
26313691	Crohns disease	Veillonella dispar	increase	Gastrointestinal tract
26330184	Cystic fibrosis	Alistipes	decrease	Gastrointestinal tract
26330184	Cystic fibrosis	Clostridium clostridioforme	increase	Gastrointestinal tract
26330184	Cystic fibrosis	Enterobacteriaceae	increase	Gastrointestinal tract
26330184	Cystic fibrosis	Faecalibacterium prausnitzii	decrease	Gastrointestinal tract
26330184	Cystic fibrosis	Ruminococcus gnavus	increase	Gastrointestinal tract
26330184	Cystic fibrosis	Tyzzerella nexilis	increase	Gastrointestinal tract
26336637	Schizophrenia	Bifidobacterium breve	increase	Throat
26336637	Schizophrenia	Bifidobacterium pseudocatenulatum	increase	Throat
26336637	Schizophrenia	Catenibacterium mitsuokai	increase	Throat
26336637	Schizophrenia	Eubacterium hallii	increase	Throat
26336637	Schizophrenia	Lactobacillus gasseri	increase	Throat
26336637	Schizophrenia	Lactobacillus salivarius	increase	Throat
26336637	Schizophrenia	Streptococcus gordonii	increase	Throat
26336637	Schizophrenia	Streptococcus thermophiles	increase	Throat
26340752	Extrinsic black stain	Actinomyces	increase	Tooth
26340752	Extrinsic black stain	Campylobacter	decrease	Tooth
26340752	Extrinsic black stain	Cardiobacterium	increase	Tooth
26340752	Extrinsic black stain	Corynebacterium	increase	Tooth
26340752	Extrinsic black stain	Haemophilus	increase	Tooth
26340752	Extrinsic black stain	Tannerella	increase	Tooth
26340752	Extrinsic black stain	Treponema	increase	Tooth
26351391	Crohns disease	Bifidobacterium	decrease	Gastrointestinal tract
26351391	Crohns disease	Coriobacteriaceae	decrease	Gastrointestinal tract
26351391	Crohns disease	Lachnospiraceae	decrease	Gastrointestinal tract
26351391	Ulcerative colitis	Bifidobacterium	decrease	Gastrointestinal tract
26351391	Ulcerative colitis	Coriobacteriaceae	decrease	Gastrointestinal tract
26351391	Ulcerative colitis	Lachnospiraceae	decrease	Gastrointestinal tract
26351391	Ulcerative colitis	Lactobacillus	decrease	Gastrointestinal tract
26367776	Multiple sclerosis	Anaerostipes hadrus	decrease	Gastrointestinal tract
26367776	Multiple sclerosis	Bacteroides coprocola	decrease	Gastrointestinal tract
26367776	Multiple sclerosis	Bacteroides coprophilus	decrease	Gastrointestinal tract
26367776	Multiple sclerosis	Bacteroides stercoris	decrease	Gastrointestinal tract
26367776	Multiple sclerosis	Clostridium	decrease	Gastrointestinal tract
26367776	Multiple sclerosis	Desulfotomaculum	decrease	Gastrointestinal tract
26367776	Multiple sclerosis	Eggerthella lenta	increase	Gastrointestinal tract
26367776	Multiple sclerosis	Eubacterium rectale	decrease	Gastrointestinal tract
26367776	Multiple sclerosis	Faecalibacterium prausnitzii	decrease	Gastrointestinal tract
26367776	Multiple sclerosis	Lachnospira pectinoschiza	decrease	Gastrointestinal tract
26367776	Multiple sclerosis	Lactobacillus rogosae	decrease	Gastrointestinal tract
26367776	Multiple sclerosis	Megamonas funiformis	decrease	Gastrointestinal tract
26367776	Multiple sclerosis	Prevotella copri	decrease	Gastrointestinal tract
26367776	Multiple sclerosis	Roseburia	decrease	Gastrointestinal tract
26367776	Multiple sclerosis	Streptococcus thermophiles	increase	Gastrointestinal tract
26367776	Multiple sclerosis	Sutterella wadsworthensis	decrease	Gastrointestinal tract
26385347	Bacterial vaginosis	Atopobium	increase	Vagina
26385347	Bacterial vaginosis	Lactobacillus crispatus	decrease	Vagina
26385347	Bacterial vaginosis	Mobiluncus	increase	Vagina
26385347	Bacterial vaginosis	MycoBlood hominis	increase	Vagina
26385347	Bacterial vaginosis	Prevotella	increase	Vagina
26385347	Bacterial vaginosis	Veillonella	increase	Vagina
26408641	Colorectal cancer	Bulleidia moorei	increase	Gastrointestinal tract
26408641	Colorectal cancer	Eubacterium ventriosum	decrease	Gastrointestinal tract
26408641	Colorectal cancer	Fusobacterium nucleatum	increase	Gastrointestinal tract
26408641	Colorectal cancer	Parvimonas micra	increase	Gastrointestinal tract
26408641	Colorectal cancer	Peptostreptococcus stomatis	increase	Gastrointestinal tract
26412568	Periodontitis	Porphyromonas gingivalis	increase	Tooth
26412568	Periodontitis	Tanerella forsythia	increase	Tooth
26412568	Periodontitis	Treponema denticola	increase	Tooth
26424567	Asthma	Faecalibacterium	decrease	Gastrointestinal tract
26424567	Asthma	Lachnospira	decrease	Gastrointestinal tract
26424567	Asthma	Rothia	decrease	Gastrointestinal tract
26424567	Asthma	Veillonella	decrease	Gastrointestinal tract
26431583	Atopic dermatitis	Faecalibacterium prausnitzii	increase	Gastrointestinal tract
26442950	Caries	Dialister pneumosintes	increase	Tooth
26442950	Caries	Peptostreptococcaceae	increase	Tooth
26442950	Caries	Porphyromonas catoniae	increase	Tooth
26442950	Caries	Prevotella	increase	Tooth
26442950	Caries	Streptococcus mitis	increase	Tooth
26455903	Obesity	Mucor fuscus	decrease	Gastrointestinal tract
26455903	Obesity	Mucor racemosus	decrease	Gastrointestinal tract
26460205	Constipation	Comamonas	decrease	Gastrointestinal tract
26460205	Constipation	Delftia	decrease	Gastrointestinal tract
26460205	Constipation	Flavobacterium	increase	Gastrointestinal tract
26460205	Constipation	Mycoplana	increase	Gastrointestinal tract
26460205	Constipation	Odoribacter	decrease	Gastrointestinal tract
26492486	Cystic fibrosis	Bacillus	increase	Nasal cavity
26492486	Cystic fibrosis	Corynebacterium accolens	increase	Nasal cavity
26492486	Cystic fibrosis	Corynebacterium propinquum	decrease	Nasal cavity
26492486	Cystic fibrosis	Corynebacterium pseudodiphtheriticum	decrease	Nasal cavity
26492486	Cystic fibrosis	Haemophilus influenzae	decrease	Nasal cavity
26492486	Cystic fibrosis	Helcococcus	decrease	Nasal cavity
26492486	Cystic fibrosis	Moraxella	decrease	Nasal cavity
26492486	Cystic fibrosis	Pasteurellaceae	decrease	Nasal cavity
26492486	Cystic fibrosis	Staphylococcus aureus	increase	Nasal cavity
26492486	Cystic fibrosis	Staphylococcus epidermidis	increase	Nasal cavity
26492486	Cystic fibrosis	Streptococcus mitis	increase	Nasal cavity
26515465	Colorectal cancer	Alistipes putredinis	decrease	Colonic tissue
26515465	Colorectal cancer	Bacteroides	decrease	Colonic tissue
26515465	Colorectal cancer	Bacteroides fragilis	increase	Colonic tissue
26515465	Colorectal cancer	Blautia	decrease	Colonic tissue
26515465	Colorectal cancer	Collinsella aerofaciens	decrease	Colonic tissue
26515465	Colorectal cancer	Faecalibacterium prausnitzii	decrease	Colonic tissue
26515465	Colorectal cancer	Fusobacterium	increase	Colonic tissue
26515465	Colorectal cancer	Gemella	increase	Colonic tissue
26515465	Colorectal cancer	Granulicatella	increase	Colonic tissue
26515465	Colorectal cancer	Leptotrichia	increase	Colonic tissue
26515465	Colorectal cancer	Parvimonas	increase	Colonic tissue
26515465	Colorectal cancer	Peptostreptococcus	increase	Colonic tissue
26515465	Colorectal cancer	Sutterella	decrease	Colonic tissue
26526081	Crohns disease	Abiotrophia	increase	Gastrointestinal tract
26526081	Crohns disease	Actinomyces	increase	Gastrointestinal tract
26526081	Crohns disease	Alistipes	decrease	Gastrointestinal tract
26526081	Crohns disease	Anaerococcus	increase	Gastrointestinal tract
26526081	Crohns disease	Anaerostipes	decrease	Gastrointestinal tract
26526081	Crohns disease	Anaerotruncus	decrease	Gastrointestinal tract
26526081	Crohns disease	Atopobium	decrease	Gastrointestinal tract
26526081	Crohns disease	Bifidobacterium	decrease	Gastrointestinal tract
26526081	Crohns disease	Bilophila	decrease	Gastrointestinal tract
26526081	Crohns disease	Catabacter	decrease	Gastrointestinal tract
26526081	Crohns disease	Clostridium	decrease	Gastrointestinal tract
26526081	Crohns disease	Coprococcus	decrease	Gastrointestinal tract
26526081	Crohns disease	Dialister	decrease	Gastrointestinal tract
26526081	Crohns disease	Eggerthella	increase	Gastrointestinal tract
26526081	Crohns disease	Escherichia_Shigella	increase	Gastrointestinal tract
26526081	Crohns disease	Faecalibacterium	decrease	Gastrointestinal tract
26526081	Crohns disease	Gemella	increase	Gastrointestinal tract
26526081	Crohns disease	Lachnospira	decrease	Gastrointestinal tract
26526081	Crohns disease	Lactococcus	increase	Gastrointestinal tract
26526081	Crohns disease	Megasphaera	increase	Gastrointestinal tract
26526081	Crohns disease	Mogibacterium	increase	Gastrointestinal tract
26526081	Crohns disease	Parabacteroides	decrease	Gastrointestinal tract
26526081	Crohns disease	Parvimonas	increase	Gastrointestinal tract
26526081	Crohns disease	Peptoniphilus	increase	Gastrointestinal tract
26526081	Crohns disease	Peptostreptococcus	increase	Gastrointestinal tract
26526081	Crohns disease	Prevotella	increase	Gastrointestinal tract
26526081	Crohns disease	Pseudobutyrivibrio	decrease	Gastrointestinal tract
26526081	Crohns disease	Roseburia	decrease	Gastrointestinal tract
26526081	Crohns disease	Ruminococcaceae Incertae Sedis	decrease	Gastrointestinal tract
26526081	Crohns disease	Ruminococcus	decrease	Gastrointestinal tract
26526081	Crohns disease	Slackia	decrease	Gastrointestinal tract
26526081	Crohns disease	Subdoligranulum	decrease	Gastrointestinal tract
26526081	Crohns disease	Turicibacter	decrease	Gastrointestinal tract
26536303	Atherosclerosis	Anaeroglobus	increase	Oral mucosae
26536303	Atherosclerosis	Bacteroidales incertae sedis	increase	Saliva
26536303	Atherosclerosis	Bacteroidia	increase	Saliva
26536303	Atherosclerosis	Campylobacterales	increase	Saliva
26536303	Atherosclerosis	Coprobacillus	increase	Saliva
26536303	Atherosclerosis	Deltaproteobacteria	increase	Saliva
26536303	Atherosclerosis	Desulfobulbus	increase	Saliva
26536303	Atherosclerosis	Epsildnproteobacteria	increase	Saliva
26536303	Atherosclerosis	Eubacteriaceae	increase	Saliva
26536303	Atherosclerosis	Faecalibacterium	increase	Saliva
26536303	Atherosclerosis	Fusobacterium	decrease	Saliva
26536303	Atherosclerosis	Gammaproteobacteria	decrease	Saliva
26536303	Atherosclerosis	Haemophilus	decrease	Saliva
26536303	Atherosclerosis	Lactococcus	increase	Saliva
26536303	Atherosclerosis	Odoribacter	increase	Saliva
26536303	Atherosclerosis	Pasteurellales	decrease	Saliva
26536303	Atherosclerosis	Phocaeicola	increase	Saliva
26536303	Atherosclerosis	Porphyromonas	increase	Saliva
26536303	Atherosclerosis	Prevotella	increase	Saliva
26536303	Atherosclerosis	Rhizobium	increase	Saliva
26536303	Atherosclerosis	Sphingomonas	increase	Saliva
26536303	Atherosclerosis	Streptococcaceae	increase	Saliva
26536303	Atherosclerosis	Veillonella	increase	Saliva
26539989	Parkinsons Disease	Bacteroides fragilis	decrease	Gastrointestinal tract
26539989	Parkinsons Disease	Blautia coccoides	decrease	Gastrointestinal tract
26539989	Parkinsons Disease	Clostridium leptum	decrease	Gastrointestinal tract
26539989	Parkinsons Disease	Lactobacillus	increase	Gastrointestinal tract
26551842	Obesity	Bacteroides fragilis	increase	Gastrointestinal tract
26551842	Obesity	Bacteroides vulgatus	increase	Gastrointestinal tract
26551842	Obesity	Bifidobacterium	decrease	Gastrointestinal tract
26551842	Obesity	Bifidobacterium infantis	increase	Gastrointestinal tract
26551842	Obesity	Clostridium	increase	Gastrointestinal tract
26551842	Obesity	Lactobacillus	increase	Gastrointestinal tract
26574055	Cervical cancer	Anaerococcus tetradius	increase	Vagina
26574055	Cervical cancer	Peptostreptococcus anaerobius	increase	Vagina
26574055	Cervical cancer	Sneathia sanguinegens	increase	Vagina
26574491	Crohns disease	Alicyclobacillus	increase	Colonic tissue
26574491	Crohns disease	Bacteroides	decrease	Colonic tissue
26574491	Crohns disease	Barnesiellaceae	decrease	Colonic tissue
26574491	Crohns disease	Blautia	decrease	Colonic tissue
26574491	Crohns disease	Burkholderia	increase	Colonic tissue
26574491	Crohns disease	Butyricimonas	decrease	Colonic tissue
26574491	Crohns disease	Candida glabrata	increase	Colonic tissue
26574491	Crohns disease	Caulobacteriaceae	increase	Colonic tissue
26574491	Crohns disease	Coprococcus	decrease	Colonic tissue
26574491	Crohns disease	Coriobacteriaceae	decrease	Colonic tissue
26574491	Crohns disease	Cystofilobasidiaceae	increase	Colonic tissue
26574491	Crohns disease	Dehalobacterium	decrease	Colonic tissue
26574491	Crohns disease	Dioszegia	increase	Colonic tissue
26574491	Crohns disease	Dorea	decrease	Colonic tissue
26574491	Crohns disease	Enterobacteriaceae	increase	Colonic tissue
26574491	Crohns disease	Enterococcus	increase	Colonic tissue
26574491	Crohns disease	Faecalibacterium	decrease	Colonic tissue
26574491	Crohns disease	Haemophilus	increase	Colonic tissue
26574491	Crohns disease	Klebsiella	decrease	Colonic tissue
26574491	Crohns disease	Lachnobacterium	decrease	Colonic tissue
26574491	Crohns disease	Lachnospiraceae	decrease	Colonic tissue
26574491	Crohns disease	Leptosphaeria	decrease	Colonic tissue
26574491	Crohns disease	Limnobacter	decrease	Colonic tissue
26574491	Crohns disease	Malassezia globosa	increase	Colonic tissue
26574491	Crohns disease	Mogibacterium	decrease	Colonic tissue
26574491	Crohns disease	Moryella	decrease	Colonic tissue
26574491	Crohns disease	Mycobacterium	decrease	Colonic tissue
26574491	Crohns disease	Oscillospira	decrease	Colonic tissue
26574491	Crohns disease	Parabacteroides	decrease	Colonic tissue
26574491	Crohns disease	Paraprevotella	decrease	Colonic tissue
26574491	Crohns disease	Pasteurellaceae	decrease	Colonic tissue
26574491	Crohns disease	Phascolarctobacterium	decrease	Colonic tissue
26574491	Crohns disease	Pleosporales	decrease	Colonic tissue
26574491	Crohns disease	Pseudomonas	increase	Colonic tissue
26574491	Crohns disease	Rikenellaceae	decrease	Colonic tissue
26574491	Crohns disease	Roseburia	decrease	Colonic tissue
26574491	Crohns disease	Ruminococcus	decrease	Colonic tissue
26574491	Crohns disease	Sphingomonas	increase	Colonic tissue
26574491	Crohns disease	Trichosporon	decrease	Colonic tissue
26574491	Crohns disease	Veillonellaceae	decrease	Colonic tissue
26587342	Pancreatic cancer	Leptotrichia	increase	Saliva
26587342	Pancreatic cancer	Porphyromonas	decrease	Saliva
26593441	Botulism	Enterobacteriaceae	increase	Gastrointestinal tract
26593441	Botulism	Firmicutes	decrease	Gastrointestinal tract
26593441	Botulism	Proteobacteria	increase	Gastrointestinal tract
26597155	Transient Ischemic Attack	Alistipes	increase	Gastrointestinal tract
26597155	Transient Ischemic Attack	Anaerosporobacter	decrease	Gastrointestinal tract
26597155	Transient Ischemic Attack	Bacteroides	decrease	Gastrointestinal tract
26597155	Transient Ischemic Attack	Deltaproteobacteria	increase	Gastrointestinal tract
26597155	Transient Ischemic Attack	Desulfovibrio	increase	Gastrointestinal tract
26597155	Transient Ischemic Attack	Enterobacter	increase	Gastrointestinal tract
26597155	Transient Ischemic Attack	Eubacterium	increase	Gastrointestinal tract
26597155	Transient Ischemic Attack	Faecalibacterium	decrease	Gastrointestinal tract
26597155	Transient Ischemic Attack	Lactobacillus	increase	Gastrointestinal tract
26597155	Transient Ischemic Attack	Megasphaera	increase	Gastrointestinal tract
26597155	Transient Ischemic Attack	Oscillibacter	increase	Gastrointestinal tract
26597155	Transient Ischemic Attack	Parabacteroides	increase	Gastrointestinal tract
26597155	Transient Ischemic Attack	Paraprevotella	decrease	Gastrointestinal tract
26597155	Transient Ischemic Attack	Porphyromonadaceae	increase	Gastrointestinal tract
26597155	Transient Ischemic Attack	Prevotella	decrease	Gastrointestinal tract
26597155	Transient Ischemic Attack	Proteobacteria	increase	Gastrointestinal tract
26597155	Transient Ischemic Attack	Rikenellaceae	increase	Gastrointestinal tract
26597155	Transient Ischemic Attack	Shewanella	decrease	Gastrointestinal tract
26597155	Transient Ischemic Attack	Subdoligranulum	increase	Gastrointestinal tract
26597155	Transient Ischemic Attack	Synergistetes	increase	Gastrointestinal tract
26606973	Cirrhosis	Aggregatibacter	decrease	Tooth
26606973	Cirrhosis	Capnocytophaga	decrease	Tooth
26606973	Cirrhosis	Cardiobacterium	decrease	Tooth
26606973	Cirrhosis	Catonella	increase	Tooth
26606973	Cirrhosis	Eubacterium	increase	Tooth
26606973	Cirrhosis	Filifactor	increase	Tooth
26606973	Cirrhosis	Fusobacterium	increase	Tooth
26606973	Cirrhosis	Lachnoanaerobaculum	decrease	Tooth
26606973	Cirrhosis	Leptotrichia	decrease	Tooth
26606973	Cirrhosis	Prevotella	decrease	Tooth
26606973	Cirrhosis	Selenomonas	decrease	Tooth
26606973	Cirrhosis	Yersinia	increase	Tooth
26606973	Hepatitis B	Aggregatibacter	decrease	Tooth
26606973	Hepatitis B	Campylobacter	decrease	Tooth
26606973	Hepatitis B	Capnocytophaga	decrease	Tooth
26606973	Hepatitis B	Corynebacterium	decrease	Tooth
26606973	Hepatitis B	Eubacterium	increase	Tooth
26606973	Hepatitis B	Filifactor	increase	Tooth
26606973	Hepatitis B	Porphyromonas	increase	Tooth
26606973	Hepatitis B	Prevotella	decrease	Tooth
26606973	Hepatitis B	Treponema	increase	Tooth
26682545	Anorexia nervosa	Bacteroides fragilis group	decrease	Gastrointestinal tract
26682545	Anorexia nervosa	Clostridium coccoides group	decrease	Gastrointestinal tract
26682545	Anorexia nervosa	Clostridium leptum subgroup	decrease	Gastrointestinal tract
26682545	Anorexia nervosa	Enterococcus	increase	Gastrointestinal tract
26682545	Anorexia nervosa	Streptococcus	decrease	Gastrointestinal tract
26691472	Colorectal cancer	Clostridioides difficile	increase	Gastrointestinal tract
26691472	Colorectal cancer	Fusobacterium nucleatum	increase	Gastrointestinal tract
26702134	Irritable bowel syndrome	Lachnospiraceae	decrease	Gastrointestinal tract
26702134	Irritable bowel syndrome	Lactobacillus	increase	Gastrointestinal tract
26702134	Irritable bowel syndrome	Roseburia	decrease	Gastrointestinal tract
26702134	Irritable bowel syndrome	Streptococcus	increase	Gastrointestinal tract
26718942	Juvenile idiopathic arthritis	Bacteroidetes	increase	Gastrointestinal tract
26718942	Juvenile idiopathic arthritis	Firmicutes	decrease	Gastrointestinal tract
26749064	Systemic sclerosis	Actinobacteria	increase	Cecum
26749064	Systemic sclerosis	Bifidobacterium	increase	Cecum
26749064	Systemic sclerosis	Bifidobacterium	increase	Colonic tissue
26749064	Systemic sclerosis	Clostridium	decrease	Cecum
26749064	Systemic sclerosis	Erwinia	increase	Cecum
26749064	Systemic sclerosis	Faecalibacterium	decrease	Cecum
26749064	Systemic sclerosis	Faecalibacterium	decrease	Colonic tissue
26749064	Systemic sclerosis	Fusobacterium	increase	Cecum
26749064	Systemic sclerosis	Fusobacterium	increase	Colonic tissue
26749064	Systemic sclerosis	Lactobacillus	increase	Cecum
26749064	Systemic sclerosis	Lactobacillus	increase	Colonic tissue
26749064	Systemic sclerosis	Prevotella	increase	Cecum
26749064	Systemic sclerosis	Prevotella	increase	Colonic tissue
26749064	Systemic sclerosis	Rikenella	decrease	Cecum
26749064	Systemic sclerosis	Rikenella	decrease	Colonic tissue
26749064	Systemic sclerosis	Trabsulsiella	increase	Cecum
26749064	Systemic sclerosis	Verrucomicrobium	increase	Cecum
26752409	Spinal cord injury	Dialister	decrease	Gastrointestinal tract
26752409	Spinal cord injury	Megamonas	decrease	Gastrointestinal tract
26752409	Spinal cord injury	Pseudobutyrivibrio	decrease	Gastrointestinal tract
26752409	Spinal cord injury	Roseburia	decrease	Gastrointestinal tract
26758568	Vitiligo	Aeromicrobium	decrease	Skin
26758568	Vitiligo	Cellvibrio	increase	Skin
26758568	Vitiligo	Corynebacterium	decrease	Skin
26758568	Vitiligo	Dermacoccus	increase	Skin
26758568	Vitiligo	Dyadobacter	increase	Skin
26758568	Vitiligo	Geminicoccus	increase	Skin
26758568	Vitiligo	Pelomonas	increase	Skin
26758568	Vitiligo	Pseudonocardia	decrease	Skin
26758568	Vitiligo	Rathayibacter	decrease	Skin
26758568	Vitiligo	Roseomonas	increase	Skin
26758568	Vitiligo	Skermanella	increase	Skin
26758568	Vitiligo	Tessaracoccus	increase	Skin
26758568	Vitiligo	Turicibacter	decrease	Skin
26758568	Vitiligo	Yimella	decrease	Skin
26789999	Crohns disease	Actinomyces	increase	Gastrointestinal tract
26789999	Crohns disease	Alistipes putredinis	decrease	Gastrointestinal tract
26789999	Crohns disease	Anaerotruncus	decrease	Gastrointestinal tract
26789999	Crohns disease	Bacillus	decrease	Gastrointestinal tract
26789999	Crohns disease	Bacteriodes uniformis	decrease	Gastrointestinal tract
26789999	Crohns disease	Bacteroides	decrease	Gastrointestinal tract
26789999	Crohns disease	Bifidobacterium	increase	Gastrointestinal tract
26789999	Crohns disease	Blautia faecis	decrease	Gastrointestinal tract
26789999	Crohns disease	Cellulosilyticum	decrease	Gastrointestinal tract
26789999	Crohns disease	Christensenella	decrease	Gastrointestinal tract
26789999	Crohns disease	Christensenella minuta	decrease	Gastrointestinal tract
26789999	Crohns disease	Citrobacter	decrease	Gastrointestinal tract
26789999	Crohns disease	Clostrdium disporicum	decrease	Gastrointestinal tract
26789999	Crohns disease	Clostridium asparagiform	decrease	Gastrointestinal tract
26789999	Crohns disease	Clostridium lactafifermentans	decrease	Gastrointestinal tract
26789999	Crohns disease	Clostridium lavalense	decrease	Gastrointestinal tract
26789999	Crohns disease	Clostridium lituseburense	decrease	Gastrointestinal tract
26789999	Crohns disease	Coprococcus	decrease	Gastrointestinal tract
26789999	Crohns disease	Desulfovibrio	decrease	Gastrointestinal tract
26789999	Crohns disease	Enterobacter	decrease	Gastrointestinal tract
26789999	Crohns disease	Enterococcus	increase	Gastrointestinal tract
26789999	Crohns disease	Escherichia	increase	Gastrointestinal tract
26789999	Crohns disease	Eubacterium	decrease	Gastrointestinal tract
26789999	Crohns disease	Eubacterium desmolans	decrease	Gastrointestinal tract
26789999	Crohns disease	Eubacterium fissicatena	decrease	Gastrointestinal tract
26789999	Crohns disease	Eubacterium ventriosum	decrease	Gastrointestinal tract
26789999	Crohns disease	Faecalibacterium	decrease	Gastrointestinal tract
26789999	Crohns disease	Faecalibacterium prausnitzii	decrease	Gastrointestinal tract
26789999	Crohns disease	Flavonifractor plautii	decrease	Gastrointestinal tract
26789999	Crohns disease	Holdemania	decrease	Gastrointestinal tract
26789999	Crohns disease	Holdemania filiformis	decrease	Gastrointestinal tract
26789999	Crohns disease	Lachnospira	decrease	Gastrointestinal tract
26789999	Crohns disease	Lactobacillus	decrease	Gastrointestinal tract
26789999	Crohns disease	Odoribacter	decrease	Gastrointestinal tract
26789999	Crohns disease	Parabacteroides	decrease	Gastrointestinal tract
26789999	Crohns disease	Prevotella	decrease	Gastrointestinal tract
26789999	Crohns disease	Pseudoflavonifractor capillosus	decrease	Gastrointestinal tract
26789999	Crohns disease	Pseudoflavonifractor	decrease	Gastrointestinal tract
26789999	Crohns disease	Roseburia	decrease	Gastrointestinal tract
26789999	Crohns disease	Roseburia intestinalis	decrease	Gastrointestinal tract
26789999	Crohns disease	Roseburia Inulinivorans	decrease	Gastrointestinal tract
26789999	Crohns disease	Ruminococcus	decrease	Gastrointestinal tract
26789999	Crohns disease	Ruminococcus torques	decrease	Gastrointestinal tract
26789999	Crohns disease	Sarcina	decrease	Gastrointestinal tract
26789999	Crohns disease	Subdoligranulum	decrease	Gastrointestinal tract
26789999	Crohns disease	Turicibacter	decrease	Gastrointestinal tract
26811607	Colorectal cancer	Fusobacterium nucleatum	increase	Colonic tissue
26840903	Allergic asthma	Bifidobacterium adolescentis	increase	Gastrointestinal tract
26840903	Allergic asthma	Bifidobacterium	increase	Gastrointestinal tract
26840903	Allergic asthma	Faecalibacterium	increase	Gastrointestinal tract
26843508	Inflammatory bowel disease	Anaerostipes	decrease	Gastrointestinal tract
26843508	Inflammatory bowel disease	Blautia	decrease	Gastrointestinal tract
26843508	Inflammatory bowel disease	Butyricimonas	increase	Gastrointestinal tract
26843508	Inflammatory bowel disease	Candida albicans	increase	Gastrointestinal tract
26843508	Inflammatory bowel disease	Christensenellaceae	decrease	Gastrointestinal tract
26843508	Inflammatory bowel disease	Coprococcus	decrease	Gastrointestinal tract
26843508	Inflammatory bowel disease	Coriobacteriaceae	decrease	Gastrointestinal tract
26843508	Inflammatory bowel disease	Dehalobacter	decrease	Gastrointestinal tract
26843508	Inflammatory bowel disease	Desulfovibrio	decrease	Gastrointestinal tract
26843508	Inflammatory bowel disease	Dorea formicigenerans	decrease	Gastrointestinal tract
26843508	Inflammatory bowel disease	Eubacterium biforme	decrease	Gastrointestinal tract
26843508	Inflammatory bowel disease	Gemella	increase	Gastrointestinal tract
26843508	Inflammatory bowel disease	Lachnobacterium	decrease	Gastrointestinal tract
26843508	Inflammatory bowel disease	Mogibacterium	decrease	Gastrointestinal tract
26843508	Inflammatory bowel disease	Parabacteroides	decrease	Gastrointestinal tract
26843508	Inflammatory bowel disease	Rikenellaceae	decrease	Gastrointestinal tract
26843508	Inflammatory bowel disease	Ruminococcus bromii	decrease	Gastrointestinal tract
26843508	Inflammatory bowel disease	Saccharomyces cerevisiae	decrease	Gastrointestinal tract
26843508	Inflammatory bowel disease	Streptococcus anginosus	increase	Gastrointestinal tract
