Disease Summary Name	General System	Applicable Gender	Monogenic Inheritance	ICD9 Codes	ICD9 Strings
Ulcerative_Colitis	Immune	Both	FALSE	556|556.6|556.5|556.4|556.3|556.2|556.1|556.0|556.9|556.8	Ulcerative (chronic) enterocolitis|"Other ulcerative colitis"|"Pseudopolyposis of colon"|"Ulcerative (chronic) proctosigmoiditis"|"Left-sided ulcerative (chronic) colitis"|"Ulcerative colitis, unspecified"|"Ulcerative (chronic) proctitis"|"Universal ulcerative (chronic) colitis"|"Ulcerative colitis"|"Ulcerative (chronic) ileocolitis"
Unspecified_Amyloidosis	Immune	Both	FALSE	277.39|277.30	Other amyloidosis|"Amyloidosis NOS"
Unspecified_Autoimmune_Disease	Immune	Both	FALSE	279.49|288.3	Eosinophilia|"Autoimmune disease, not elsewhere classified (ADDED)"
Unspecified_Hepatitis	Immune	Both	FALSE	571.49|571.42|571.41|571.4|571.40	Chronic hepatitis NOS|"Chronic persistent hepatitis"|"Other chronic hepatitis"|"Chronic hepatitis"|"Autoimmune hepatitis"
Unspecified_Immune_Deficiency	Immune	Both	FALSE	279.19|279.10|279.3	Immunodeficiency with predominant T-cell defect, unspecified|"Other deficiency of cell-mediated immunity"|"Unspecified immunity deficiency"
Unspecified_Immune_Disorder	Immune	Both	FALSE	728.82|701.5|279.9|279.8|709.4	Unspecified disorder of immune mechanism|"Foreign body granuloma of skin and subcutaneous tissue"|"Other specified disorders involving the immune mechanism"|"Other abnormal granulation tissue"|"Foreign body granuloma of muscle"
Unspecified_White_Blood_Cell_Disease	Immune	Both	FALSE	289.53|288.9|288.8|288.5|288.4|288.6|288.0|288.51|288.50|288.59|288.69|288.64|288.65|288.66|288.60|288.61|288.62|288.63|288.09|288.04|288.03|288.00	Drug induced neutropenia|"Basophilia"|"Neutropenia NOS"|"Plasmacytosis"|"Monocytosis (symptomatic)"|"Other specified disease of white blood cells"|"Hemophagocytic syndromes"|"Lymphocytosis (symptomatic)"|"Other elevated white blood cell count"|"Agranulocytosis"|"Other decreased white blood cell count"|"Elevated white blood cell count"|"Neutropenia due to infection"|"Lymphocytopenia"|"Leukocytosis NOS"|"Leukocytopenia NOS"|"Leukemoid reaction"|"Unspecified disease of white blood cells"|"Other neutropenia"|"Decreased white blood cell count"|"Bandemia"|"Neutropenic splenomegaly"
Upper_Respiratory_Inflammation	Immune	Both	FALSE	478.21|478.20|478.22|478.25|478.24|478.26|478.29|464.20|464.21|464.00|464.01|519.19|478.19|464|478.11|462|519.1|519.2|519.3|464.11|464.10|464.1|464.0|464.2|478.8|478.9|476|478.2|476.0|478|478.1|476.1	Other diseases of pharynx or nasopharynx|"Acute tracheitis with obstruction"|"Acute laryngitis and tracheitis"|"Acute laryngotracheitis"|"Cyst of pharynx or nasopharynx"|"Other diseases of trachea and bronchus, not elsewhere classified"|"Acute tracheitis"|"Cellulitis of pharynx or nasopharynx"|"Other and unspecified diseases of upper respiratory tract"|"Other diseases of pharynx, not elsewhere classified"|"Acute laryngotracheitis without mention of obstruction"|"Parapharyngeal abscess"|"Acute laryngotracheitis with obstruction"|"Chronic laryngitis and laryngotracheitis"|"Acute laryngitis without mention of obstruction"|"Other diseases of upper respiratory tract"|"Acute laryngitis with obstruction"|"Nasal mucositis (ulcerative)"|"Other diseases of nasal cavity and sinuses"|"Upper respiratory tract hypersensitivity reaction, site unspecified"|"Acute laryngitis"|"Disease of pharynx NOS"|"Other diseases of mediastinum NEC"|"Retropharyngeal abscess"|"Chronic laryngitis"|"Acute pharyngitis"|"Other diseases of trachea and bronchus"|"Acute tracheitis without mention of obstruction"|"Mediastinitis"|"Edema of pharynx or nasopharynx"|"Chronic laryngotracheitis"
Vasculitis	Immune	Both	FALSE	446.29|447.6|446.20|446|446.21|446.0|446.3|446.2|446.5|446.4|446.7|446.6	Hypersensitivity angiitis, unspecified|"Takayasu's disease"|"Goodpasture's syndrome"|"Giant cell arteritis"|"Other specified hypersensitivity angiitis"|"Thrombotic microangiopathy"|"Polyarteritis nodosa"|"Lethal midline granuloma"|"Arteritis NOS"|"Hypersensitivity angiitis"|"Polyarteritis nodosa and allied conditions"|"Wegener's granulomatosis"
Wiskott-Aldrich_Syndrome	Immune	Both	TRUE	279.12	Wiskott-Aldrich syndrome
Acute_Bronchitis	Infectious_Disease	Both	FALSE	464.4|466.19|466|466.11|466.1|466.0|490	Acute bronchiolitis|"Acute bronchiolitis due to respiratory syncytial virus (RSV)"|"Croup"|"Acute bronchitis and bronchiolitis"|"Acute bronchitis"|"Bronchitis NOS"|"Acute bronchiolitis due to other infectious organisms"
Acute_Upper_Respiratory_Infection	Infectious_Disease	Both	FALSE	464.5|465.8|464.3|465.9|032.0|032.1|032.2|032.3|460|463|465.0|465|464.31|464.51|464.50|034.0|464.30	Acute nasopharyngitis (common cold)|"Acute upper respiratory infections of multiple or unspecified sites"|"Laryngeal diphtheria"|"Supraglottitis, unspecified"|"Anterior nasal diphtheria"|"Acute epiglottitis"|"Supraglottitis, unspecified with obstruction"|"Acute laryngopharyngitis"|"Acute upper respiratory infections of other multiple sites"|"Acute epiglottitis with obstruction"|"Faucial diphtheria"|"Acute upper respiratory infections of unspecified site"|"Acute epiglottitis without mention of obstruction"|"Supraglottitis, unspecified without mention of obstruction"|"Nasopharyngeal diphtheria"|"Streptococcal sore throat"|"Acute tonsillitis"
Arthropod-Borne_Diseases	Infectious_Disease	Both	FALSE	085.5|085.2|084.6|085.0|086.4|085.1|088.89|088|086|085|084|088.82|088.81|084.9|084.8|085.9|084.3|084.2|085.4|084.0|084.7|085.3|084.5|084.4|086.9|088.9|088.8|086.1|086.0|086.3|086.2|086.5|084.1|088.0	Leishmaniasis|"Babesiosis"|"African trypanosoma NOS"|"Malaria NOS"|"Other malaria"|"Bartonellosis"|"Ovale malaria"|"Trypanosomiasis NOS"|"Malaria"|"Chagas' disease without mention of organ involvement"|"Cutaneous leishmaniasis, American"|"Blackwater fever"|"Gambian trypanosomiasis"|"Vivax malaria [benign tertian]"|"Cutaneous leishmaniasis, Asian desert"|"Induced malaria"|"Other specified arthropod-borne diseases"|"Cutaneous leishmaniasis, Ethiopian"|"Chagas' disease with heart involvement"|"Lyme disease"|"Trypanosomiasis"|"Arthropod-borne disease, unspecified"|"Visceral leishmaniasis"|"Mucocutaneous leishmaniasis, (American)"|"Falciparum malaria [malignant tertian]"|"Mixed malaria"|"Rhodesian trypanosomiasis"|"Cutaneous leishmaniasis, urban"|"Other arthropod-borne diseases"|"Chagas' disease with other organ involvement"|"Leishmaniasis NOS"|"Quartan malaria"|"Other pernicious complications of malaria"
Bone_Infection	Infectious_Disease	Both	FALSE	730.86|730.87|730.84|730.85|730.82|730.83|730.80|730.81|730.88|730.89|730.9|730.8|730|730.95|730.94|730.97|730.96|730.91|730.90|730.93|730.92|730.99|730.98	Unspecified infection of bone, forearm|"Unspecified infection of bone in multiple sites"|"Other infections involving diseases classified elsewhere, hand bone"|"Unspecified infection of bone of shoulder region"|"Other infections involving bone in disease classified elsewhere"|"Other infections involving bone diseases classified elsewhere, shoulder region"|"Other infections involving bone diseases classified elsewhere, lower leg"|"Unspecified infection of bone of pelvic region and thigh"|"Other infections involving bone in diseases classified elsewhere, site unspecified"|"Unspecified infection of bone"|"Unspecified infection of bone, site unspecified"|"Unspecified infection of bone, hand"|"Other infections involving bone diseases classified elsewhere, pelvic region and thigh"|"Unspecified infection of bone, ankle and foot"|"Unspecified infection of bone of other specified sites"|"Unspecified infection of bone, lower leg"|"Other infections involving bone diseases classified elsewhere, ankle and foot"|"Other infections involving bone in diseases classified elsewhere, forearm"|"Other infections involving bone diseases classified elsewhere, multiple sites"|"Osteomyelitis, periostitis, and other infections involving bone"|"Other infections involving bone diseases classified elsewhere, other specified sites"|"Other infections involving bone disease classified elsewhere, upper arm"|"Unspecified infection of bone, upper arm"
CNS_Infection	Infectious_Disease	Both	FALSE	048.0|324.9|326|324.0|324.1	Intracranial abscess|"Intracranial and intraspinal abscess of unspecified site"|"Intraspinal abscess"|"Late effects of intracranial abscess or pyogenic infection"|"Other enterovirus diseases of central nervous system **"
Carditis	Infectious_Disease	Both	FALSE	424.9|398.0|036.42|429.0|423.0|423.1|112.81|036.41|115.13|422.0|115.03|115.04|422.9|074.2|036.40|036.43|423.9|420.0|421|423.3|423|422|420.9|423.8|115.93|115.94|420|421.0|423.2|391.1|420.99|421.1|420.91|420.90|391.2|421.9|391.0|032.82|074.21|074.20|074.23|074.22|130.3|115.14|424.99|036.4|422.93|422.92|422.91|422.90|424.90|393|422.99	Other specified diseases of pericardium|"Histoplasmosis endocarditis"|"Meningococcal carditis"|"Myocarditis NOS"|"Endocarditis, valve unspecified"|"Adhesive pericarditis"|"Other acute pericarditis"|"Acute and subacute endocarditis"|"Septic myocarditis"|"Cardiac tamponade"|"Acute rheumatic myocarditis"|"Chronic rheumatic pericarditis"|"Acute and subacute infective endocarditis in diseases classified elsewhere"|"Meningococcal pericarditis"|"Acute myocarditis in diseases classified elsewhere"|"Acute myocarditis NOS"|"Acute pericarditis NOS"|"Histoplasma duboisii pericarditis"|"Acute myocarditis"|"Coxsackie carditis"|"Coxsackie pericarditis"|"Rheumatic myocarditis"|"Unspecified disease of pericardium"|"Hemopericardium"|"Constrictive pericarditis"|"Toxic myocarditis"|"Other and unspecified acute myocarditis"|"Histoplasmosis pericarditis"|"Diphtheritic myocarditis"|"Acute pericarditis in diseases classified elsewhere"|"Other endocarditis valve unspecified"|"Coxsackie carditis NOS"|"Endocarditis valve unspecified cause"|"Idiopathic myocarditis"|"Meningococcal carditis, unspecified"|"Histoplasma duboisii endocarditis"|"Candidal endocarditis"|"Toxoplasma myocarditis"|"Other and unspecified acute pericarditis"|"Other diseases of pericardium"|"Meningococcal endocarditis"|"Coxsackie myocarditis"|"Histoplasma capsulatum pericarditis"|"Other acute myocarditis"|"Acute rheumatic endocarditis"|"Acute pericarditis"|"Acute rheumatic pericarditis"|"Coxsackie endocarditis"|"Histoplasma capsulatum endocarditis"|"Acute endocarditis, unspecified"|"Meningococcal myocarditis"|"Acute idiopathic pericarditis"|"Acute and subacute bacterial endocarditis"
Cellulitis	Infectious_Disease	Both	FALSE	031.1|039.0|035|681.01|681.00|681.02|020.1|682.9|682.8|021.0|682.3|682.2|682.1|682.0|032.85|682.6|682.5|682.4|022.0|681.9|681.0|681.1|682.7|681.10|681.11|686|681|682	Cellulitis and abscess of other specified sites|"Cellulitis and abscess of trunk"|"Cellulitis and abscess of finger"|"Cellulitis and abscess of upper arm and forearm"|"Cellulitis and abscess of foot, except toes"|"Felon"|"Onychia and paronychia of finger"|"Cellulocutaneous plague"|"Erysipelas"|"Cutaneous diphtheria"|"Cellulitis and abscess of finger and toe"|"Cellulitis and abscess of finger NOS"|"Other cellulitis and abscess"|"Cellulitis and abscess of leg, except foot"|"Cellulitis and abscess of unspecified digit"|"Cellulitis and abscess of toe, unspecified"|"Cellulitis and abscess of hand except fingers and thumb"|"Ulceroglandular tularemia"|"Cellulitis and abscess of toe"|"Onychia and paronychia of toe"|"Cutaneous anthrax"|"Cellulitis and abscess of face"|"Cellulitis and abscess of neck"|"Cutaneous diseases due to other mycobacteria"|"Cellulitis and abscess of buttock"|"Cutaneous actinomycosis"|"Cellulitis and abscess NOS"|"Other local infections of skin and subcutaneous tissue"
Chronic_Upper_Respiratory_Infection	Infectious_Disease	Both	FALSE	472|472.0|472.2|472.1	Chronic rhinitis|"Chronic nasopharyngitis"|"Chronic pharyngitis"|"Chronic pharyngitis and nasopharyngitis"
Connective_Tissue_Infection	Infectious_Disease	Both	FALSE	567.31|728.86|728.0|710.5	Necrotizing fasciitis|"Eosinophilia myalgia syndrome"|"Infective myositis"|"Psoas muscle abscess"
Ear_Infection	Infectious_Disease	Both	FALSE	383.0|382.02|382.01|382.00|382.9|383.31|383.30|383.33|381.20|383.3|383.1|055.2|381.06|381.04|381.05|381.02|381.03|381.00|381.01|382.2|382.3|382.0|382.1|382.4|383.8|380.12|380.13|380.10|380.11|380.16|383.2|380.14|380.15|380.1|380.2|381.4|381.1|381.0|381.3|381.2|383.00|383.01|383.02|383.22|383.20|383.21|380.23|380.22|382|383|381.19|383.89|381.10|383.9|383.81|381.29	Acute mucoid otitis media|"Other chronic serous otitis media"|"Acute nonsuppurative otitis media, unspecified"|"Acute mastoiditis with other complications"|"Chronic mastoiditis"|"Acute infection of pinna"|"Petrositis"|"Chronic mycotic otitis externa"|"Malignant otitis externa"|"Acute allergic mucoid otitis media"|"Other and unspecified chronic nonsuppurative otitis media"|"Other otitis externa"|"Acute serous otitis media"|"Postmastoidectomy complication, unspecified"|"Mucosal cyst of postmastoidectomy cavity"|"Subperiosteal abscess of mastoid"|"Infective otitis externa"|"Other chronic infective otitis externa"|"Chronic tubotympanic suppurative otitis media"|"Acute swimmers' ear"|"Complications following mastoidectomy"|"Acute suppurative otitis media in diseases classified elsewhere"|"Nonsuppurative otitis media NOS"|"Mastoiditis and related conditions"|"Acute sanguinous otitis media"|"Other acute otitis externa"|"Acute allergic serous otitis media"|"Other disorders of mastoid"|"Chronic mucoid otitis media"|"Chronic serous otitis media, simple or unspecified"|"Suppurative otitis media NOS"|"Acute suppurative otitis media without spontaneous rupture of ear drum"|"Acute mastoiditis"|"Acute allergic sanguinous otitis media"|"Chronic atticoantral suppurative otitis media"|"Postauricular fistula"|"Unspecified otitis media"|"Other chronic mucoid otitis media"|"Other acute infections of external ear"|"Acute petrositis"|"Postmeasles otitis media"|"Chronic petrositis"|"Acute nonsuppurative otitis media"|"Mastoiditis NOS"|"Petrositis, unspecified"|"Granulations of postmastoidectomy cavity"|"Suppurative and unspecified otitis media"|"Unspecified chronic suppurative otitis media"|"Acute mastoiditis without complications"|"Acute suppurative otitis media"|"Infective otitis externa, unspecified"|"Other chronic otitis externa"|"Chronic mucoid otitis media, simple or unspecified"|"Chronic serous otitis media"|"Acute suppurative otitis media with spontaneous rupture of ear drum"
Encephalitis	Infectious_Disease	Both	FALSE	323.01|323.63|072.2|323.81|323.82|323.61|066.2|341.2|323.9|055.0|323.5|323.4|139.0|323.6|323.1|323.0|064|323.51|323.52|058.29|323.72|056.01|058.21|323|323.2|341.22|063|062|323.8|058.2|054.3|049.8|049.9|323.41|323.71|046.2|323.7|063.8|052.0|323.42|063.9|323.02|036.1|323.62|130.0|063.2|063.0|063.1|341.20|341.21|062.9|062.8|062.5|062.4|062.3|062.2|062.1|062.0	Toxic encephalitis, myelitis, and encephalomyelitis|"Other postinfectious encephalitis and encephalomyelitis"|"Encephalitis, myelitis, and encephalomyelitis in viral diseases classified elsewhere"|"Encephalitis and encephalomyelitis in viral diseases classified elsewhere"|"Acute (transverse) myelitis in conditions classified elsewhere"|"Venezuelan equine fever"|"Human herpesvirus 6 encephalitis"|"Other specified mosquito-borne viral encephalitis"|"Unspecified non-arthropod-borne viral diseases of central nervous system"|"Other myelitis due to infection classified elsewhere"|"Other encephalitis and encephalomyelitis due to infection classified elsewhere"|"Viral encephalitis transmitted by other and unspecified arthropods"|"Myelitis in viral diseases classified elsewhere"|"Meningococcal encephalitis"|"California encephalitis"|"Postmeasles encephalitis"|"Tick-borne viral encephalitis"|"Postvaricella encephalitis"|"Australian encephalitis"|"Eastern equine encephalitis"|"Late effects of viral encephalitis"|"Toxic encephalitis and encephalomyelitis"|"Idiopathic transverse myelitis"|"Russian spring-summer [taiga] encephalitis"|"Other specified tick-borne viral encephalitis"|"Other encephalitis, myelitis, and encephalomyelitis due to infection classified elsewhere"|"Other specified non-arthropod-borne viral diseases of central nervous system"|"Central European encephalitis"|"Encephalitis, myelitis, and encephalomyelitis following immunization procedures"|"Postinfectious encephalitis, myelitis, and encephalomyelitis"|"Western equine encephalitis"|"Herpetic meningoencephalitis"|"Other human herpesvirus encephalitis"|"Postinfectious myelitis"|"Unspecified cause of encephalitis, myelitis, and encephalomyelitis"|"Acute (transverse) myelitis"|"Encephalitis, myelitis, and encephalomyelitis"|"Other causes of myelitis"|"Tick-borne viral encephalitis, unspecified"|"Encephalomyelitis due to rubella"|"Other causes of encephalitis and encephalomyelitis"|"Encephalitis, myelitis, and encephalomyelitis in protozoal diseases classified elsewhere"|"Myelitis following immunization procedures"|"Meningoencephalitis due to toxoplasmosis"|"Subacute sclerosing panencephalitis"|"Encephalitis, myelitis, and encephalomyelitis in rickettsial diseases classified elsewhere"|"Toxic myelitis"|"Mosquito-borne viral encephalitis"|"Acute (transverse) myelitis NOS"|"St. Louis encephalitis"|"Encephalitis and encephalomyelitis following immunization procedures"|"Other causes of encephalitis, myelitis, and encephalomyelitis"|"Infectious acute disseminated encephalomyelitis (ADEM)"|"Mumps encephalitis"|"Louping ill"|"Mosquito-borne viral encephalitis, unspecified"|"Japanese encephalitis"
Escherichia_Coli_Infection	Infectious_Disease	Both	FALSE	041.43|041.42|041.4|041.49|041.41	Other specified Shiga toxin-producing Escherichia coli [E. coli] (STEC)|"Shiga toxin-producing Escherichia coli [E. coli] (STEC) O157"|"Shiga toxin-producing Escherichia coli [E. coli] (STEC), unspecified"|"Other and unspecified Escherichia coli [E. coli]"|"Escherichia coli [E. coli] infection in conditions classified elsewhere and of unspecified site"
Eye_Infection	Infectious_Disease	Both	FALSE	076|076.0|053.29|372.06|077|376.04|376.00|376.01|376.02|376.03|375.41|372.01|077.2|375.42|379.60|372.05|372.20|372.21|139.1|053.22|053.20|053.21|054.49|054.44|115.02|054.41|054.40|054.43|054.42|376.13|055.71|372.30|021.3|032.81|372.22|379.63|376.0|077.99|077.98|115.92|076.1|077.9|077.8|372.02|364.03|076.9|054.4|077.0|077.3|379.62|360.19|379.61|379.6|053.2|372.15|360.13|372.39|077.4|372.00|372.3|372.2|372.0|375.30|375.31|375.32|375.33|130.2|130.1|115.12|372.03|077.1|372.04|373.6|373.4|373.5	Conjunctivitis NEC|"Orbital cellulitis"|"Pharyngoconjunctival fever"|"Measles keratoconjunctivitis"|"Chronic canaliculitis"|"Acute inflammation of orbit, unspecified"|"Pseudomembranous conjunctivitis"|"Blepharoconjunctivitis, unspecified"|"Inclusion conjunctivitis"|"Parasitic infestation of orbit"|"Acute dacryocystitis"|"Conjunctival diphtheria"|"Inflammation (infection) of postprocedural bleb, stage 2"|"Dendritic keratitis"|"Acute inflammation of orbit"|"Serous conjunctivitis, except viral"|"Other infective dermatitis of eyelid"|"Herpes zoster with other ophthalmic complications"|"Acute follicular conjunctivitis"|"Unspecified diseases of conjunctiva due to viruses"|"Conjunctivitis due to toxoplasmosis"|"Histoplasma capsulatum retinitis"|"Conjunctivitis NOS"|"Oculoglandular tularemia"|"Inflammation (infection) of postprocedural bleb, unspecified"|"Dacryocystitis NOS"|"Epidemic keratoconjunctivitis"|"Chorioretinitis due to toxoplasmosis"|"Other diseases of conjunctiva due to viruses and Chlamydiae"|"Epidemic hemorrhagic conjunctivitis"|"Herpes zoster iridocyclitis"|"Other viral conjunctivitis"|"Other mucopurulent conjunctivitis"|"Orbital periostitis"|"Other endophthalmitis"|"Acute conjunctivitis, unspecified"|"Herpes simplex with ophthalmic complications"|"Herpes simplex disciform keratitis"|"Trachoma, initial stage"|"Orbital tenonitis"|"Unspecified diseases of conjunctiva due to Chlamydiae"|"Acute chemical conjunctivitis"|"Trachoma, active stage"|"Late effects of trachoma"|"Inflammation (infection) of postprocedural bleb"|"Phlegmonous dacryocystitis"|"Trachoma"|"Infective dermatitis of eyelid of types resulting in deformity"|"Parasitic endophthalmitis NOS"|"Contact blepharoconjunctivitis"|"Secondary iridocyclitis, infectious"|"Acute canaliculitis, lacrimal"|"Histoplasma duboisii retinitis"|"Inflammation (infection) of postprocedural bleb, stage 3"|"Parasitic infestation of eyelid"|"Histoplasmosis retinitis"|"Acute conjunctivitis"|"Herpes zoster dermatitis of eyelid"|"Parasitic conjunctivitis"|"Blepharoconjunctivitis"|"Herpes simplex dermatitis of eyelid"|"Angular blepharoconjunctivitis"|"Chronic dacryocystitis"|"Inflammation (infection) of postprocedural bleb, stage 1"|"Herpes zoster keratoconjunctivitis"|"Acute atopic conjunctivitis"|"Other adenoviral conjunctivitis"|"Other and unspecified conjunctivitis"|"Herpes simplex with unspecified ophthalmic complication"|"Herpes simplex with other ophthalmic complications"|"Herpes simplex iridocyclitis"|"Herpes zoster with ophthalmic complications"|"Unspecified diseases of conjunctiva due to viruses and Chlamydiae"|"Trachoma NOS"|"Orbital osteomyelitis"
Fungal_Infection	Infectious_Disease	Both	FALSE	112.3|112.2|112.1|112.0|112.5|112.9|112.8|115|114|117|116|111|110|112|112.84|112.85|116.0|118|112.82|115.09|110.1|111.3|115.1|115.00|111.0|110.5|111.1|115.90|115.99|115.19|115.9|518.6|117.2|117.3|117.0|117.1|117.6|117.7|117.4|117.5|111.8|117.8|117.9|116.2|116.1|111.9|115.0|110.0|110.3|110.2|114.9|110.4|111.2|110.6|110.9|110.8|114.1|115.10|114.3|112.89	Candidal otitis externa|"Infection by Histoplasma capsulatum"|"Candidal esophagitis"|"Dermatophytosis of foot"|"Other forms of progressive coccidioidomycosis"|"Dermatophytosis of groin and perianal area"|"Histoplasmosis"|"Dermatophytosis of nail"|"Dermatophytosis of the body"|"Other candidiasis of other specified sites"|"Candidiasis"|"Allescheriosis"|"Infection by dematiacious fungi [Phaehyphomycosis]"|"Aspergillosis"|"Pityriasis versicolor"|"Infection by Histoplasma capsulatum, without mention of manifestation"|"Black piedra"|"Other and unspecified mycoses"|"Infection by Histoplasma duboisii"|"Candidiasis of other urogenital sites"|"Infection by Histoplasma duboisii, without mention of manifestation"|"Candidiasis of other specified sites"|"Candidiasis of skin and nails"|"Other specified dermatomycoses"|"Histoplasmosis, unspecified"|"Infection by Histoplasma duboisii with mention of other manifestation"|"Dermatophytosis of other specified sites"|"Dermatophytosis of unspecified site"|"Dermatomycosis, other and unspecified"|"Sporotrichosis"|"Coccidioidomycosis"|"Cryptococcosis"|"Other mycoses"|"Tinea nigra"|"Lobomycosis"|"Dermatomycosis NOS"|"Zygomycosis"|"Disseminated candidiasis"|"Primary extrapulmonary coccidioidomycosis"|"Histoplasmosis, unspecified with mention of other manifestation"|"Histoplasmosis, unspecified without mention of manifestation"|"Blastomycotic infection"|"Candidiasis of vulva and vagina"|"Dermatophytosis"|"Opportunistic mycoses"|"Tinea blanca"|"Mycotic mycetomas"|"Paracoccidioidomycosis"|"Rhinosporidiosis"|"Chromoblastomycosis"|"Candidiasis of mouth"|"Dermatophytosis of hand"|"Infection by Histoplasma capsulatum, with mention of other manifestation"|"Coccidioidomycosis NOS"|"Blastomycosis"|"Deep seated dermatophytosis"|"Candidal enteritis"|"Allergic bronchopulmonary aspergillosis"|"Dermatophytosis of scalp and beard"|"Candidiasis of unspecified site"
Gastrointestinal_Infection	Infectious_Disease	Both	FALSE	005.81|005.89|001.0|001.1|001.9|003.0|003.2|003.8|003.9|008.6|008.5|008.4|008.3|008.2|008.1|008.0|008.8|003.20|003.24|003.29|008.44|008.45|008.46|008.47|008.41|008.42|008.43|008.49|006.0|006.3|006.2|006.5|006.4|006.6|006.9|006.8|009.2|009.3|009.0|009.1|007.5|007.2|007.3|007.9|004.3|004.2|004.1|004.0|004.9|004.8|008.00|008.01|008.02|008.03|008.04|008.09|002.9|021.1|002.1|002.0|002.3|002.2|022.2|005.4|005.2|005.3|005.0|005.1|005.8|005.9|003|002|001|007|006|005|004|009|008|008.69|008.62|008.63|008.61|008.66|008.67|008.64|008.65	Enteritis due to norwalk virus|"Typhoid and paratyphoid fevers"|"Shigella sonnei"|"Enteric tularemia"|"Intestinal infection due to escherichia coli [E. coli]"|"Enteritis due to rotavirus"|"Intestinal infection due to unspecified E. coli"|"Amebiasis"|"Botulism food poisoning"|"Amebic liver abscess"|"Cholera due to Vibrio cholerae el tor"|"Other protozoal intestinal diseases"|"Intestinal infection due to yersinia enterocolitica"|"Amebic skin ulceration"|"Enteritis due to enterovirus NEC"|"Shigella boydii"|"Salmonella gastroenteritis"|"Enteritis due to specified virus"|"Intestinal infection due to other gram-negative bacteria"|"Food poisoning NOS"|"Intestinal infection due to campylobacter"|"Other localized salmonella infections"|"Intestinal infection due to enterotoxigenic E. coli"|"Localized salmonella infections"|"Ill-defined intestinal infections"|"Typhoid fever"|"Paratyphoid fever NOS"|"Cholera NOS"|"Intestinal infection due to other specified bacteria"|"Intestinal infection due to enteropathogenic E. coli"|"Amebic infection of other sites"|"Amebiasis NOS"|"Other salmonella infections"|"Gastrointestinal anthrax"|"Coccidiosis"|"Amebic nondysenteric colitis"|"Shigella dysenteriae"|"Intestinal infections due to other organisms"|"Paratyphoid fever B"|"Salmonella infection NOS"|"Staphylococcal food poisoning"|"Intestinal infection due to staphylococcus"|"Other bacterial food poisoning"|"Other specified shigella infections"|"Food poisoning due to Clostridium perfringens [C. welchii]"|"Bacterial enteritis, unspecified"|"Amebic brain abscess"|"Other viral enteritis"|"Cholera due to Vibrio cholerae"|"Intestinal infection due to pseudomonas"|"Intestinal infection due to aerobacter aerogenes"|"Other intestinal E. coli infections"|"Food poisoning due to other Clostridia"|"Shigellosis NOS"|"Infectious diarrhea"|"Viral enteritis NOS"|"Colitis, enteritis, and gastroenteritis of presumed infectious origin"|"Food poisoning due to Vibrio vulnificus"|"Other specified salmonella infections"|"Localized salmonella infection, unspecified"|"Infectious colitis, enteritis, and gastroenteritis"|"Food poisoning due to Vibrio parahaemolyticus"|"Intestinal trichomoniasis"|"Amebic lung abscess"|"Shigella flexneri"|"Intestinal infection due to clostridium difficile"|"Enteritis due to other small round viruses [SRV's]"|"Acute amebic dysentery without mention of abscess"|"Intestinal infection due to other anaerobes"|"Diarrhea of presumed infectious origin"|"Intestinal infection due to proteus (mirabilis) (morganii)"|"Shigellosis"|"Enteritis due to calcivirus"|"Enteritis due to adenovirus"|"Unspecified protozoal intestinal disease"|"Paratyphoid fever C"|"Intestinal infection due to enteroinvasive E. coli"|"Salmonella osteomyelitis"|"Paratyphoid fever A"|"Other food poisoning (bacterial)"|"Intestinal infection due to arizona group of paracolon bacilli"|"Cholera"|"Intestinal infection due to enterohemorrhagic E. coli"|"Cyclosporiasis"|"Enteritis due to astrovirus"
